,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
area ,employee id,in time(days),out time,total income
3,16,24,68,4284
44,16,29,10,3412
32,16,33,98,3105
70,16,36,59,3454
49,16,48,9,1691
74,16,40,89,3912
87,16,43,78,3183
69,16,23,28,4651
79,16,27,28,1666
12,16,5,3,4965
63,16,24,78,1562
30,16,39,84,1622
96,16,12,62,2818
39,16,33,56,1549
41,16,28,8,4221
65,16,20,57,3439
10,16,17,54,2452
88,16,33,31,3426
23,16,45,63,2700
70,16,31,92,2422
66,16,1,85,4477
78,16,29,9,4859
70,16,35,35,2320
18,16,40,26,2298
13,16,5,73,1852
68,16,31,58,2102
80,16,46,1,4070
18,16,37,35,4889
38,16,48,59,4924
25,16,16,75,1507
42,16,27,15,4853
94,16,40,65,3058
97,16,15,91,3975
26,16,42,45,3990
80,16,38,18,3259
46,16,44,25,3208
35,16,11,31,3660
13,16,7,17,4211
46,16,14,92,4663
27,16,27,95,3685
92,16,23,86,3727
39,16,49,65,3655
64,16,47,39,1583
80,16,20,97,4433
1,16,21,40,4478
46,16,49,24,3910
10,16,33,51,3119
41,16,48,17,3793
38,16,4,77,2860
5,16,33,44,3719
36,16,18,98,1661
90,16,4,72,1812
54,16,14,24,2360
41,16,8,32,2964
71,16,13,67,3102
93,16,33,30,2908
37,16,15,30,3535
73,16,26,85,2510
33,16,41,26,1949
78,16,34,73,2722
40,16,12,60,3008
56,16,20,33,1847
97,16,23,41,3442
87,16,27,53,3411
69,16,14,61,4124
77,16,34,27,1756
52,16,36,77,2679
61,16,25,79,4580
66,16,27,37,2200
95,16,10,26,2663
92,16,7,3,2694
3,16,12,1,2980
11,16,31,52,1872
1,16,1,56,3616
59,16,2,14,3528
81,16,28,94,1979
21,16,42,64,3498
63,16,43,61,2730
49,16,33,4,3505
78,16,42,53,4208
22,16,45,89,4383
26,16,5,51,2195
50,16,15,75,2230
14,16,30,66,4177
4,16,1,61,3233
95,16,15,55,4789
26,16,25,50,2733
39,16,8,35,3457
