area,employee id,in time(days),out time,total income
76,15,10,11,4147
48,15,30,4,4668
65,15,2,28,2433
76,15,7,41,2166
38,15,10,2,2432
14,15,6,11,2782
6,15,23,68,3626
62,15,39,60,1643
48,15,4,63,3716
61,15,9,68,2799
21,15,6,94,3412
49,15,40,37,2649
12,15,1,64,1550
44,15,31,92,2695
67,15,25,50,3268
7,15,29,85,1922
78,15,32,68,2469
38,15,43,99,4871
95,15,25,12,2824
80,15,19,84,4609
79,15,25,91,1512
4,15,40,53,2991
73,15,33,68,3094
66,15,30,66,2436
14,15,10,65,2734
43,15,42,7,3062
50,15,17,87,3291
49,15,12,67,3258
63,15,21,75,3924
1,15,10,14,3810
85,15,4,67,3605
32,15,18,43,2998
90,15,9,14,4249
69,15,12,88,4897
34,15,6,90,2641
65,15,8,95,4614
18,15,43,58,2119
48,15,19,89,4120
82,15,45,94,1950
1,15,15,1,2561
45,15,45,50,2771
46,15,19,18,2729
13,15,31,93,3128
10,15,28,98,3826
18,15,47,26,2408
67,15,13,62,2523
93,15,3,80,3427
99,15,10,29,3894
29,15,27,40,3113
48,15,36,42,3385
57,15,33,83,4057
22,15,45,99,4585
82,15,23,81,4315
65,15,15,68,4374
78,15,42,40,3063
20,15,38,71,2969
44,15,12,81,4214
73,15,3,7,3486
16,15,17,96,2121
76,15,34,93,2085
43,15,28,96,2827
93,15,18,72,1633
59,15,11,63,3997
28,15,4,82,4961
98,15,7,39,2167
6,15,36,11,3298
66,15,48,67,3613
9,15,14,43,3387
82,15,46,13,3046
96,15,13,91,4791
45,15,31,4,3779
8,15,49,32,4652
47,15,41,26,2056
95,15,18,59,2384
27,15,7,4,4557
93,15,23,57,2390
9,15,45,29,3497
16,15,17,88,4022
11,15,12,77,3068
65,15,7,23,2871
65,15,35,53,2276
22,15,13,62,1661
77,15,6,36,4180
68,15,36,23,2511
35,15,18,5,3244
6,15,37,81,3644
16,15,6,41,4575
99,15,28,16,2024
66,15,33,6,3439
14,15,12,7,2370
7,15,38,81,2523
72,15,7,98,2536
87,15,11,58,4815
67,15,33,3,1819
87,15,7,6,2504
16,15,27,69,1606
71,15,27,39,3800
51,15,35,87,3830
9,15,37,36,3849
45,15,38,95,1980
52,15,18,53,3335
13,15,18,22,1793
87,15,7,96,2079
34,15,45,54,4966
87,15,21,79,3532
63,15,13,84,2719
65,15,33,87,2917
83,15,10,98,2686
37,15,46,83,2123
29,15,27,15,1882
41,15,14,83,4647
23,15,5,77,4003
43,15,6,84,2559
8,15,13,21,4517
14,15,19,99,2007
76,15,43,11,1735
23,15,2,12,4898
80,15,1,35,3237
6,15,2,38,3220
69,15,25,43,3793
99,15,42,1,2007
91,15,36,33,2593
82,15,21,25,2527
49,15,39,22,3153
5,15,10,28,2101
81,15,19,35,1856
4,15,38,73,2679
42,15,6,37,3080
37,15,3,18,2751
59,15,47,40,3828
16,15,37,39,3349
90,15,48,23,3248
60,15,20,13,4730
34,15,29,31,2118
45,15,9,89,2749
33,15,27,87,4888
74,15,22,7,2351
77,15,24,97,1998
63,15,45,93,3920
59,15,16,35,3288
12,15,12,43,4942
94,15,45,6,2561
8,15,4,38,1738
70,15,17,80,2919
78,15,46,88,3102
72,15,19,71,4068
80,15,12,56,4082
66,15,45,19,2628
40,15,33,62,2569
38,15,34,5,3428
65,15,44,60,2879
45,15,49,86,2264
72,15,13,84,2773
20,15,43,65,1871
55,15,10,63,3882
92,15,40,69,3231
75,15,26,5,3055
12,15,32,69,2452
76,15,20,65,2526
82,15,38,60,4336
43,15,6,32,3467
69,15,44,80,3059
93,15,12,7,4051
7,15,12,34,4949
99,15,29,50,1713
6,15,45,98,2162
63,15,12,68,3301
67,15,41,10,2288
12,15,8,65,4955
71,15,10,7,1566
90,15,23,43,1684
59,15,20,90,3261
93,15,40,44,1548
84,15,49,50,3911
58,15,7,85,1673
99,15,39,34,2599
24,15,21,6,2160
38,15,34,64,3217
87,15,32,76,4564
84,15,5,83,2068
41,15,5,17,4303
61,15,3,7,3182
91,15,14,69,1830
25,15,31,6,1825
53,15,43,2,3889
41,15,28,46,2467
2,15,17,78,4396
44,15,25,10,2514
70,15,2,75,2735
91,15,35,86,1607
43,15,47,33,3586
81,15,13,12,2443
46,15,49,18,3245
50,15,11,27,3151
57,15,17,18,4147
82,15,17,75,3170
82,15,44,55,3002
36,15,40,55,3017
88,15,13,71,3907
57,15,28,5,2058
47,15,41,64,2562
39,15,3,44,1998
63,15,22,38,3018
77,15,17,6,2300
16,15,4,64,1936
12,15,4,77,3690
13,15,4,17,3563
47,15,26,21,3125
68,15,45,10,4046
38,15,25,68,1519
28,15,36,92,4480
14,15,41,45,4300
21,15,5,54,2334
27,15,28,20,1882
62,15,2,59,4244
41,15,29,57,3723
6,15,36,25,4225
95,15,11,10,4273
94,15,13,28,1665
5,15,41,90,1779
74,15,16,84,3286
82,15,14,80,3556
74,15,15,25,3390
10,15,39,30,4277
24,15,47,48,3122
74,15,43,40,4398
25,15,13,77,3778
46,15,49,63,3622
37,15,12,82,4922
70,15,28,21,2133
88,15,34,1,1825
41,15,1,52,3014
34,15,28,68,1515
15,15,10,13,3624
96,15,12,99,3576
80,15,6,76,1748
33,15,5,16,4844
10,15,34,15,1941
35,15,3,35,1693
60,15,15,87,2803
60,15,10,66,2459
11,15,21,25,2924
75,15,8,81,3849
90,15,18,79,4667
17,15,49,18,2888
96,15,14,47,1930
67,15,14,70,4542
36,15,20,89,3911
74,15,44,73,2657
10,15,41,43,2278
57,15,15,87,4666
66,15,10,92,4283
54,15,47,36,3717
67,15,10,24,4088
55,15,6,69,2791
45,15,37,23,3575
11,15,36,10,2132
19,15,8,85,3436
30,15,42,20,4594
6,15,32,30,2308
18,15,16,6,4148
90,15,2,71,3356
89,15,34,49,4198
65,15,36,25,3177
28,15,11,36,2018
70,15,27,54,4421
74,15,24,30,3401
50,15,26,7,2985
92,15,37,52,1967
42,15,22,48,4248
37,15,30,43,3789
1,15,31,58,3666
62,15,7,32,3180
98,15,32,26,3395
9,15,40,93,1688
58,15,33,72,2220
39,15,25,81,4370
30,15,41,87,1723
62,15,40,40,4135
63,15,45,60,2269
83,15,30,59,1741
13,15,15,65,2395
54,15,1,29,4229
67,15,21,92,4092
38,15,39,21,4553
72,15,14,47,4744
2,15,30,71,3676
84,15,37,88,4383
64,15,11,3,2949
81,15,14,28,2302
61,15,9,40,3199
7,15,34,6,2074
50,15,23,2,4329
41,15,30,34,3344
48,15,32,63,3233
2,15,32,22,2431
11,15,34,79,2236
55,15,11,43,2292
38,15,22,94,2325
51,15,23,98,3191
34,15,18,11,4043
33,15,47,31,4874
97,15,38,58,4664
58,15,40,68,3845
23,15,20,61,2150
94,15,23,8,3898
65,15,27,84,3892
37,15,38,1,2705
18,15,45,49,4421
22,15,22,47,3500
54,15,40,69,4536
21,15,26,76,2193
76,15,30,63,1748
82,15,9,37,3178
90,15,23,19,3888
74,15,49,67,3288
28,15,38,61,2864
10,15,27,53,3383
93,15,44,44,4037
74,15,46,67,3357
47,15,20,75,4391
